"grupo_nuevo","anio","expo_grupo"
"cobre",1994,3635228
"cobre",1995,10434136
"cobre",1996,14130730
"cobre",1997,75125056
"cobre",1998,441115319.79
"cobre",1999,518686529.04
"cobre",2000,445015381.46
"cobre",2001,518770818.68
"cobre",2002,639216303.64
"cobre",2003,718524197.88
"cobre",2004,966180286.99
"cobre",2005,1156546528.61
"cobre",2006,1870207654.19
"cobre",2007,1939442405.78
"cobre",2008,1382028036.13
"cobre",2009,912622369.53
"cobre",2010,1277918521.44
"cobre",2011,1315572534.2
"cobre",2012,1438920966.54
"cobre",2013,954514941.72
"cobre",2014,932108932.84
"cobre",2015,465188072.31
"cobre",2016,601672457.67
"cobre",2017,403960411.89
"cobre",2018,277055859.5
"cobre",2019,163636.14
"cobre",2020,267354.7
"cobre",2021,2750
"cobre",2022,1306303.09
"litio",1995,3800
"litio",1996,31
"litio",1997,909930
"litio",1998,22333972.1
"litio",1999,16569700.41
"litio",2000,27799555.47
"litio",2001,27213368.94
"litio",2002,20884371.98
"litio",2003,26860313.41
"litio",2004,42840380.09
"litio",2005,54315286.63
"litio",2006,62780019.67
"litio",2007,59505969.51
"litio",2008,83505621.72
"litio",2009,56236954.07
"litio",2010,71004523.11
"litio",2011,54802259.58
"litio",2012,58438001.05
"litio",2013,61076199.59
"litio",2014,80444883.24
"litio",2015,90933987.96
"litio",2016,191932031.85
"litio",2017,223858139.71
"litio",2018,274572769.77
"litio",2019,195430265.81
"litio",2020,128871881.44
"litio",2021,208165967.33
"litio",2022,695932952.46
"oro",1994,7097836
"oro",1995,1778
"oro",1997,1201283
"oro",1998,27371803.52
"oro",1999,110375778.87
"oro",2000,97906759.62
"oro",2001,103382380.78
"oro",2002,118934087.81
"oro",2003,117145566.08
"oro",2004,139657287.83
"oro",2005,146516884.68
"oro",2006,550111719.09
"oro",2007,561831410.94
"oro",2008,702913169.54
"oro",2009,1033721356.72
"oro",2010,2014011324.95
"oro",2011,2343120127.19
"oro",2012,2261569721.54
"oro",2013,1871133629.77
"oro",2014,1768558527.5
"oro",2015,2275205906.28
"oro",2016,2038816924.49
"oro",2017,2258404240.76
"oro",2018,2202768370.55
"oro",2019,2156245913.8
"oro",2020,1763327037.43
"oro",2021,2005610961.38
"oro",2022,2158764392.66
"otro",1994,54954475
"otro",1995,103079351
"otro",1996,117854554
"otro",1997,122217858
"otro",1998,129164408.97
"otro",1999,110229076.33
"otro",2000,114807399.54
"otro",2001,105081610.2
"otro",2002,114107556.85
"otro",2003,135152183.61
"otro",2004,179231322.04
"otro",2005,211162665.64
"otro",2006,284898712.4
"otro",2007,334644003.41
"otro",2008,380105962.55
"otro",2009,283081018.43
"otro",2010,370910827.81
"otro",2011,504053193.92
"otro",2012,484959625.83
"otro",2013,454017108.58
"otro",2014,422202895.7
"otro",2015,294023634.33
"otro",2016,282657443.95
"otro",2017,357307305.13
"otro",2018,306460079.54
"otro",2019,271852828.17
"otro",2020,136692929.69
"otro",2021,193504306.37
"otro",2022,198508333.49
"plata",1994,410
"plata",1996,15020
"plata",2000,2081765.31
"plata",2001,9321737.92
"plata",2002,3030038.98
"plata",2003,3312592.24
"plata",2004,9017383.44
"plata",2005,10557334.36
"plata",2006,31374072.56
"plata",2007,50763396.98
"plata",2008,170736204.11
"plata",2009,280004704.9
"plata",2010,477212128.28
"plata",2011,684785369.17
"plata",2012,737062017.56
"plata",2013,510152078.73
"plata",2014,444325749.35
"plata",2015,431292813.69
"plata",2016,448864549.72
"plata",2017,450078655.29
"plata",2018,389477348
"plata",2019,622513750.24
"plata",2020,591589734.48
"plata",2021,835492873.13
"plata",2022,802367822.67
