"anio","expo_turistica","prop_expo"
"1976","180000000","3.8860103626943"
"1977","212000000","3.2111481369282"
"1978","279000000","3.72596153846154"
"1979","267000000","2.90881359625231"
"1980","344000000","3.47580074770132"
"1981","413000000","3.80329680449397"
"1982","610000000","6.6325975861694"
"1983","453000000","4.8762109795479"
"1984","440000000","4.57808760794923"
"1985","523000000","5.20553399024584"
"1986","562000000","6.65167475440881"
"1987","615000000","7.54231052244297"
"1988","634000000","5.68660866445421"
"1989","790000000","6.71426143124256"
"1990","903000000","6.10135135135135"
"1991","782000000","5.43584040038927"
"1992","1478900000","9.62437037133449"
"1993","1695600000","10.4112940066903"
"1994","1933000000","9.98672225752621"
"1995","2222000000","8.90351633598906"
"1996","2620600000","9.21942874427629"
"1997","2777500000","8.95858751431635"
"1998","3024800000","9.67751134368316"
"1999","2897900000","10.3506340321271"
"2000","2903700000","9.29573072740167"
"2001","2641800000","8.48996035504434"
"2002","1535110000","5.28355332220482"
"2003","2005480000","5.84074853193484"
"2004","2234770000","5.62103767237422"
"2005","2729100000","5.81994322724393"
"2006","3351272644.11116","6.14590850016795"
"2007","4325191391.9352","6.54119939914877"
"2008","4664069619.98559","5.71691910546872"
"2009","3988854964.44718","6.01314323580309"
"2010","4989210424.10833","6.15017863972198"
"2011","5430952856.39422","5.56354947199411"
"2012","5013728806.3777","5.31505209260896"
"2013","4524642219.33038","5.04936629938695"
"2014","4960045051.11692","6.06089752082569"
"2015","4926954792.94362","7.03623858056299"
"2016","4966910642.60252","6.95795426384628"
"2017","5369617695.92281","7.23979644709327"
"2018","5562807828.32514","7.2110183312733"
"2019","5240662736.77672","6.55373807346085"
"2020","1727467524.49954","2.68085245216569"
"2021","394199529.154335","0.450126320829517"
"2022","3473519648.00575","3.36623627844655"
"2023","5486319784.79593","6.56511393175177"
"2024","4959480767.20387","5.11674984715379"
